mem,desc,date_diff,date_var,amt,cat,discret,sub,label
"1000564013171293","netflicomnetflicomca",4.36,0.09,0,"Entertainment",TRUE,TRUE,1
"1000564013171293","redbodvdrenil",5.71,NA,6.28,"Entertainment",TRUE,FALSE,0
"1000564013171293","directvpayment",4.36,0.09,0.25,"Cable/Satellite Services",FALSE,FALSE,0
"1000564013171293","ikeamerriamremerriamks",0,0,1.88,"Home Improvement",TRUE,FALSE,0
"1000564013171293","littlecaesarsoverlandparkks",1.76,1.35,7.3,"Restaurants/Dining",TRUE,FALSE,0
"1000564013171293","wmsupercwalmartsupwarrensburgmo",1.52,4.21,61.63,"General Merchandise",TRUE,FALSE,0
"1000564013171293","usaafundstransferdb",0.46,0.26,104.54,"Transfers",FALSE,FALSE,0
"1000564013171293","usaafundstransfercr",0.37,0.22,201.88,"Transfers",FALSE,FALSE,0
"1000564013171293","woodssupermarkwarrensburgmo",1.48,0.64,15.13,"General Merchandise",TRUE,FALSE,0
"1000564013171293","bbbirchboinny",4.33,0.05,0,"Personal Care",TRUE,FALSE,1
"1000564013171293","sqttnailswarrensburgmo",9,NA,15.15,"Personal Care",TRUE,FALSE,0
"1000564013171293","whitemanvandenbewhitemanafbmo",6.36,6.38,32.38,"Uncategorized",FALSE,FALSE,0
"1000564013171293","bodyworksdaysedaliamo",2,NA,34.06,"Personal Care",TRUE,FALSE,0
"1000564013171293","atmsurchargerebatesr",4.29,0.06,3.43,"ATM/Cash Withdrawals",TRUE,FALSE,0
"1000564013171293","wfhomemtgautopay",4.29,0.14,0,"Mortgages",FALSE,FALSE,1
"1000564013171293","whitemancommiswhitemanafbmo",0.92,0.89,5.33,"Groceries",TRUE,FALSE,0
"1000564013171293","whitemanarnoldawhitemanafbmo",5.93,22.54,38.68,"Uncategorized",FALSE,FALSE,0
"1000564013171293","pplteambeachbca",0.79,0.01,9.75,"Uncategorized",FALSE,FALSE,0
"1000564013171293","comenitypaysbwebpymt",12.71,NA,1.9,"Credit Card Payments",TRUE,FALSE,0
"1000564013171293","glossybonewyorkny",4.36,0.09,0,"Uncategorized",FALSE,FALSE,1
"1000564013171293","thewodbocomoh",4.21,0.09,0,"Online Services",TRUE,FALSE,1
"1000564013171293","newyorklifeifl",4.29,0.04,0,"Insurance",FALSE,FALSE,1
"1000564013171293","sparkysmarionsc",1,NA,14.98,"Restaurants/Dining",TRUE,FALSE,0
"1000564013171293","centurylinkspeedpay",4.5,0.09,16.68,"Cable/Satellite Services",FALSE,FALSE,0
"1000564013171293","dfasinindinafpayj",2.2,0.06,0.05,"Deposits",FALSE,FALSE,1
"1000564013171293","interestpaidgt",2.57,NA,0,"Interest",FALSE,FALSE,0
"1000564013171293","whitemanafbbawhitemanafbmo",2.33,2.5,2.18,"Uncategorized",FALSE,FALSE,0
"1000564013171293","whitemanclubwhitemanafbmo",3.48,16.05,2.54,"Hobbies",TRUE,FALSE,0
"1000564013171293","usaapcautopay",4.36,0.01,0,"Insurance",FALSE,FALSE,1
"1000564013171293","luigiswarrensburgmo",3.19,7.05,5.37,"Restaurants/Dining",TRUE,FALSE,0
"1000564013171293","",0,0,140.54,"Deposits",FALSE,FALSE,0
"1000564013171293","usaacompaymntcreditcrd",4.29,0.16,3.11,"Credit Card Payments",TRUE,FALSE,0
"1000564013171293","paymentforamzstorecard",5.14,1.02,0,"Entertainment",TRUE,FALSE,0
"1000564013171293","papajohnsmo",1,NA,2.08,"Restaurants/Dining",TRUE,FALSE,0
"1000564013171293","missouriamericapayment",4.71,0.04,0.35,"Credit Card Payments",TRUE,FALSE,0
"1000564013171293","ipsysubscrica",3.86,0.63,0,"Uncategorized",FALSE,FALSE,1
"1000564013171293","warrensburgrviefunds",7.14,NA,0,"Uncategorized",FALSE,FALSE,0
"1000564013171293","whitemanmainswhitemanafbmo",6,NA,30.21,"Uncategorized",FALSE,FALSE,0
"1000564013171293","tpibillingutilities",3.86,NA,0.96,"Utilities",FALSE,FALSE,0
"1000564013171293","check",1.32,1.15,23.64,"Checks",FALSE,FALSE,0
